test_score,cv_score,cls,preprocess
0.672174929060257,0.6522445266688208,1,"[3, 5]"
0.6341079127325078,0.6410382159803127,1,"[3, 5]"
0.6576828761225645,0.6417516738123688,1,"[3, 5]"
0.6976766446889813,0.6508493129088297,1,"[3, 5]"
0.6452378867767898,0.6408526681341258,1,"[3, 5]"
0.6313373070399755,0.6481501753039579,1,"[3, 5]"
0.6877602812061601,0.6528874966592705,1,"[3, 5]"
0.6796521607518171,0.6458772767723379,1,"[3, 5]"
0.6228132815089337,0.6425458458889368,1,"[3, 5]"
0.6532726027143625,0.648159859193673,1,"[3, 5]"
0.6743569503127224,0.6451704587396832,1,"[3, 5]"
0.5029243119266056,0.47980512013818205,1,"[3, 5, 6]"
0.5161634879026182,0.564598152064734,1,"[3, 5, 4]"
0.6283383408446004,0.6369919693060031,1,"[3, 5]"
0.6716021038841438,0.646081013320234,1,"[3, 5]"
0.6207402770822901,0.6252771871772593,1,"[3, 5]"
0.670482485864608,0.6310212549819962,1,"[3, 5]"
0.6319414406920645,0.6399120899755758,1,"[3, 5]"
0.6082497231359195,0.6330612201933139,1,"[3, 5]"
0.6445399310391788,0.6344001325094858,1,[]
0.6400233982009682,0.6275983471474196,1,[]
0.6573136476949545,0.6294829920231496,1,[]
0.6199965364305863,0.620172567604202,1,[]
0.5576433561246645,0,1,"[3, 7]"
0.5180427092979114,0,1,"[3, 7]"
0.6715263373338975,0.6501196048115568,1,"[3, 9]"
0.5353225831875286,0.5083177391185446,1,"[3, 9, 4]"
0.6052320146886998,0.646187181611431,1,"[3, 9]"
0.618815331010453,0.6499535050138943,1,"[3, 10]"
0.515330453626329,0.5196322139597506,10,"[3, 8]"
0.5341165908176218,0.5262316589712294,10,"[3, 8, 4]"
0.5425496412481228,0,11,"[3, 8, 4]"
0.6051941800292936,0,11,"[3, 8]"
0.6356677756808116,0,11,[]
0.6198139720476491,0,1,[11]
0.6570561468824081,0.6513676217922489,1,[11]
0.6378175951774083,0.6253779488167852,1,"[11, 3, 5]"
0.6187685524707526,0.6441222472393746,1,"[11, 8]"
0.6707627828051089,0.6464889356049603,1,[11]
0.6699899107901445,0.6479739556011069,1,[11]
0.635390514374811,0.637986171742688,1,[11]
0.6649758600693181,0.6423763050483406,1,[11]
0.6421686020315123,0.6373167017316579,1,[11]
0.6721219294196222,0.6391857546728353,1,[11]
0.6573516124548234,0.6485598038308504,1,[11]
0.6713219829744617,0.645925065023562,1,[11]
0.6698970230912908,0.6415625359909349,1,[11]
0.641488198816987,0,11,[]
0.5906006742951702,0,11,[]
0.6499524618683499,0,11,[]
0.47745638765881265,0,11,[]
0.45653483634172837,0,11,[]
0.574988847533006,0,11,[]
0.628093350055967,0,11,[]
0.5330236863419231,0,11,[]
0.6503892132332498,0.638012090928719,1,[]
0.6107160693476658,0.6337008224739844,1,[]
0.4778711538833917,0,11,[]
0.49645944561067124,0,11,[]
0.5010353408732149,0,11,[]
0.524463260140561,0,11,[]
0.6667698358557148,0,11,[]
0.6070315211821682,0,11,[]
0.6601132801934674,0,11,[]
0.5981677553842503,0.6517051693601275,5,"[11, 3]"
0.5804352138051869,0.6406611681806079,5,"[11, 3, 8]"
0.6168843242770268,0.6500194555367139,5,"[11, 3, 8]"
0.6482495735808187,0.6069900988389807,13,"[11, 3, 8]"
0.6333534798534799,0.5968506861859371,13,"[11, 3, 8]"
0.6284406637675928,0.6108012072363145,13,"[11, 3, 8]"
0.6273789636135109,0.6235062283323474,13,"[11, 3, 8]"
0.6201194810926688,0.6306612407003414,1,"[11, 3, 8]"
0.6564683473192655,0.6490623990999146,14,"[11, 3, 8]"
0.6575711236184594,0.6546929018768275,14,"[11, 3, 8]"
0.5023785879793824,0.5323495703538494,15,"[11, 3]"
0.6031736076266935,0.6075464758976695,16,"[11, 3]"
0.659042730762811,0.6450029629197467,1,"[11, 3]"
0.5788357540693989,0.6310327067245336,1,"[11, 3]"
0.583466099626113,0.6466775488341296,1,"[11, 3]"
0.5688645887899424,0.6550851629440224,1,"[11, 3]"
0.6292578039930188,0.6573293614865433,1,"[11, 3]"
0.6655908091246217,0.6487772524370847,1,"[11, 3]"
0.6403626373626374,0.6453707158717078,1,"[11, 3]"
0.638717108735702,0.6488137501445477,1,"[11, 3]"
0.6631003856089767,0.6535585751453603,1,"[11, 3]"
0.654383667593252,0.6479578064294256,1,"[11, 3]"
0.5494412573396203,0.6474517563708918,1,"[11, 3]"
0.6806654152843257,0.6482176852676659,1,"[11, 3]"
0.6481484636469643,0.6514386350278132,1,"[11, 3]"
0.5843618480162671,0.6453046326467529,1,"[11, 3]"
0.6062852278550058,0.6488399524060638,1,"[11, 3]"
0.6492368079556988,0,1,"[11, 3]"
0.5957913275400972,0.652660091700989,1,"[11, 3]"
0.666604929602191,0.6515795569319188,1,"[11, 3]"
0.6525776612733134,0.6528645928865099,1,"[11, 3]"
0.6448176145299578,0.6456388657537897,1,"[11, 3]"
0.6276465201465202,0.6338432553688204,18,"[11, 3]"
0.6554238698235713,0.6463276440056083,18,"[11, 3]"
0.6403295922246648,0.6426109081051903,18,"[11, 3]"
0.6315599823597113,0.6199719038065921,18,"[11, 3]"
0.6368584604704209,0.6527714234211601,18,[11]
0.5902512753251599,0.5840321523317984,18,[11]
0.6230016667639486,0.6416708194586814,18,[11]
0.6389731270728272,0.6649665617122438,18,[11]
0.6220653280843884,0.6444008768582737,18,[11]
